Rain1,Moisture1,X1,Y1,Z1,Rain2,Moisture2,X2,Y2,Z2
0,199,172,212,152,0,113,104,220,174
0,199,172,212,152,1,113,104,219,174
0,199,172,212,152,0,113,104,219,174
0,199,172,212,152,0,48,32,204,135
0,199,172,212,152,0,113,104,220,175
0,199,172,212,152,1,113,104,218,174
0,199,172,212,152,0,113,105,220,174
0,199,172,212,152,0,113,105,220,175
0,199,172,212,152,0,113,104,220,174
0,199,172,212,152,0,113,105,220,175
0,199,172,212,152,0,113,104,219,174
0,199,172,212,151,1,113,103,218,173
0,199,172,212,152,0,113,105,220,175
0,199,172,212,152,0,113,105,220,175
0,199,172,212,152,0,113,105,220,175
0,199,172,212,152,0,113,104,220,175
0,199,172,212,152,0,113,104,220,175
0,198,172,212,152,0,113,104,219,174
0,198,172,212,152,0,113,104,220,174
0,199,172,212,152,0,114,104,220,174
0,199,172,212,152,0,113,104,220,174
0,199,172,212,152,0,113,104,218,174
0,199,172,212,152,0,113,105,220,174
0,199,172,212,152,2,114,103,217,172
0,199,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,104,220,175
0,198,172,212,152,0,113,104,219,174
0,199,172,212,152,2,113,103,218,173
0,199,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,104,219,174
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,40,201,134
0,198,172,212,152,0,113,104,219,174
0,198,172,212,152,0,113,104,219,173
0,198,172,212,152,0,113,105,221,176
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,104,219,174
0,198,172,212,152,0,113,104,220,174
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,1,113,104,219,173
0,198,172,212,152,0,113,104,220,174
0,198,172,212,152,0,113,105,220,174
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,1,113,103,218,173
0,198,172,212,152,1,113,103,218,174
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,114,104,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,104,219,174
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,1,113,103,218,173
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,104,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,48,32,201,134
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,1,113,104,218,174
0,198,172,212,152,1,113,104,219,174
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,104,220,174
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,104,219,174
0,198,172,212,152,1,113,104,218,173
0,198,172,212,152,1,113,104,219,173
0,198,172,212,152,0,113,104,219,174
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,1,113,104,219,174
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,1,113,104,219,173
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,1,113,104,219,174
0,198,172,212,152,0,113,104,219,174
0,198,172,212,152,0,113,104,220,174
0,198,172,212,152,1,113,104,219,174
0,198,172,212,152,0,113,104,219,174
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,105,220,174
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,104,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,112,105,220,175
0,198,172,212,152,0,112,105,220,175
0,198,172,212,152,0,113,104,219,174
0,198,172,212,152,0,113,105,220,174
0,198,172,212,152,0,113,105,219,174
0,198,172,212,152,1,113,104,219,174
0,198,172,213,152,0,113,105,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,2,113,103,217,172
0,198,172,212,152,1,113,104,219,174
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,105,220,175
0,198,172,212,152,0,113,105,219,174
0,197,172,212,152,0,113,104,218,173
0,197,172,212,152,1,113,104,218,174
0,197,172,212,152,0,113,105,220,175
0,197,172,212,152,1,113,104,219,173
0,197,172,212,152,0,113,105,220,175
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,113,105,220,175
0,197,172,212,152,0,113,105,220,175
0,197,172,212,152,0,113,104,219,174
0,197,172,212,152,0,113,105,220,175
0,197,172,213,152,0,113,104,219,174
0,197,172,212,152,0,113,104,219,174
0,197,172,212,152,0,113,105,220,175
0,197,172,212,152,1,113,104,219,174
0,197,172,212,152,0,113,105,219,174
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,113,105,220,175
0,197,172,212,152,0,113,104,218,173
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,113,103,218,173
0,197,172,212,152,1,113,104,219,174
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,1,112,104,218,173
0,197,172,212,151,0,112,104,204,135
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,105,220,174
0,197,172,212,152,0,112,104,219,174
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,113,104,218,174
0,197,172,212,152,0,112,104,219,174
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,1,112,104,218,173
0,197,172,212,152,0,112,104,220,175
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,104,204,135
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,104,218,173
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,104,219,174
0,197,172,212,152,0,112,106,221,175
0,197,172,212,152,1,112,104,219,174
0,197,172,212,152,1,112,104,219,174
0,197,172,212,152,1,112,104,219,174
0,197,172,212,152,1,112,104,219,174
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,105,220,175
0,197,172,212,151,1,112,104,219,174
0,197,172,212,152,0,113,104,220,175
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,105,220,174
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,104,219,173
0,197,172,212,152,0,112,104,219,174
0,197,172,212,152,1,112,104,219,174
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,104,219,174
0,197,172,212,152,0,112,104,219,174
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,105,220,175
0,197,172,212,152,0,112,104,218,173
